cluster,Mass,Mode7_Freq,Mode11_Freq,stiffness_ratio,mass_efficiency,validation_outcome
0,21.27,431.65,1217.56,2.82,38.77,0.96
1,19.54,398.94,1027.03,2.57,36.5,0.62
