Feature,Correlation,P-value
mass_efficiency,0.5976429773740233,1.2476701864853246e-88
stiffness_ratio,0.5791045079816486,4.4301058073364164e-82
Mode11_Freq,0.536094168844357,2.1285912726883263e-68
Mode7_Freq,0.4403404802215344,3.630111438352734e-44
Mass,0.39610851478379494,2.4824068005295014e-35
